SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22021,2544,0022100551,"JAN 02, 2022",LAL vs. MIN,W,39,7,15,0.467,3,9,0.333,9,12,0.75,0,7,7,5,3,1,1,2,26,9,1
22021,2544,0022100538,"DEC 31, 2021",LAL vs. POR,W,29,16,26,0.615,5,10,0.5,6,9,0.667,2,12,14,4,2,2,0,1,43,18,1
22021,2544,0022100520,"DEC 29, 2021",LAL @ MEM,L,38,13,25,0.52,8,14,0.571,3,3,1.0,2,11,13,7,2,2,5,1,37,0,1
22021,2544,0022100511,"DEC 28, 2021",LAL @ HOU,W,39,11,19,0.579,3,5,0.6,7,9,0.778,4,6,10,11,1,2,3,3,32,6,1
22021,2544,0022100491,"DEC 25, 2021",LAL vs. BKN,L,40,14,25,0.56,3,9,0.333,8,9,0.889,1,8,9,7,3,1,3,2,39,9,1
22021,2544,0022100487,"DEC 23, 2021",LAL vs. SAS,L,35,15,26,0.577,2,7,0.286,4,6,0.667,2,7,9,6,1,2,3,2,36,-23,1
22021,2544,0022100469,"DEC 21, 2021",LAL vs. PHX,L,34,13,19,0.684,2,5,0.4,6,6,1.0,0,7,7,2,2,0,2,1,34,0,1
22021,2544,0022100448,"DEC 19, 2021",LAL @ CHI,L,39,11,21,0.524,1,7,0.143,8,11,0.727,1,13,14,6,1,2,4,5,31,-1,1
22021,2544,0022100436,"DEC 17, 2021",LAL @ MIN,L,36,5,13,0.385,2,6,0.333,6,8,0.75,1,9,10,5,1,2,4,5,18,-11,1
22021,2544,0022100420,"DEC 15, 2021",LAL @ DAL,W,43,9,19,0.474,4,9,0.444,2,3,0.667,0,3,3,5,1,0,2,1,24,-6,1
22021,2544,0022100403,"DEC 12, 2021",LAL vs. ORL,W,37,12,20,0.6,3,7,0.429,3,4,0.75,1,10,11,10,0,3,6,2,30,14,1
22021,2544,0022100389,"DEC 10, 2021",LAL @ OKC,W,35,13,20,0.65,4,6,0.667,3,4,0.75,0,5,5,6,3,2,2,2,33,19,1
22021,2544,0022100380,"DEC 09, 2021",LAL @ MEM,L,37,7,15,0.467,1,6,0.167,5,5,1.0,0,10,10,11,4,2,5,1,20,2,1
22021,2544,0022100365,"DEC 07, 2021",LAL vs. BOS,W,36,13,19,0.684,2,5,0.4,2,2,1.0,2,2,4,5,0,0,3,2,30,18,1
22021,2544,0022100341,"DEC 03, 2021",LAL vs. LAC,L,36,9,23,0.391,2,8,0.25,3,5,0.6,3,8,11,6,2,0,3,2,23,-5,1
22021,2544,0022100304,"NOV 28, 2021",LAL vs. DET,W,37,12,20,0.6,4,9,0.444,5,8,0.625,0,5,5,9,2,1,2,1,33,14,1
22021,2544,0022100291,"NOV 26, 2021",LAL vs. SAC,L,50,10,25,0.4,2,13,0.154,8,11,0.727,1,6,7,11,1,0,7,4,30,-7,1
22021,2544,0022100268,"NOV 24, 2021",LAL @ IND,W,43,13,29,0.448,5,12,0.417,8,9,0.889,0,5,5,6,1,2,2,2,39,-3,1
